date,rain,wdsp
11/6/2012 0:00,0,8
11/6/2012 1:00,0,8
11/6/2012 2:00,0,10
11/6/2012 3:00,0,11
11/6/2012 4:00,0,10
11/6/2012 5:00,0,11
11/6/2012 6:00,0,11
11/6/2012 7:00,0,13
11/6/2012 8:00,0,13
11/6/2012 9:00,0,15
11/6/2012 10:00,0,15
11/6/2012 11:00,0,16
11/6/2012 12:00,0,16
11/6/2012 13:00,0,15
11/6/2012 14:00,0,14
11/6/2012 15:00,0,14
11/6/2012 16:00,0,13
11/6/2012 17:00,0,13
11/6/2012 18:00,0,13
11/6/2012 19:00,0,14
11/6/2012 20:00,0,13
11/6/2012 21:00,0,14
11/6/2012 22:00,0,14
11/6/2012 23:00,0,14
11/7/2012 0:00,0,15
11/7/2012 1:00,0,16
11/7/2012 2:00,0,15
11/7/2012 3:00,0,15
11/7/2012 4:00,0,14
11/7/2012 5:00,0,14
11/7/2012 6:00,0,14
11/7/2012 7:00,0,13
11/7/2012 8:00,0,14
11/7/2012 9:00,0,14
11/7/2012 10:00,0,16
11/7/2012 11:00,0,16
11/7/2012 12:00,0,16
11/7/2012 13:00,0,16
11/7/2012 14:00,0,15
11/7/2012 15:00,0,15
11/7/2012 16:00,0,16
11/7/2012 17:00,0,18
11/7/2012 18:00,0.1,15
11/7/2012 19:00,0.2,15
11/7/2012 20:00,0,15
11/7/2012 21:00,0,17
11/7/2012 22:00,0,15
11/7/2012 23:00,0,16
11/8/2012 0:00,0,14
11/8/2012 1:00,0,14
11/8/2012 2:00,0,13
11/8/2012 3:00,0,14
11/8/2012 4:00,0,14
11/8/2012 5:00,0,13
11/8/2012 6:00,0,12
11/8/2012 7:00,0,12
11/8/2012 8:00,0,9
11/8/2012 9:00,0,9
11/8/2012 10:00,0,11
11/8/2012 11:00,0,10
11/8/2012 12:00,0,10
11/8/2012 13:00,0,10
11/8/2012 14:00,0,10
11/8/2012 15:00,0,10
11/8/2012 16:00,0,10
11/8/2012 17:00,0,10
11/8/2012 18:00,0,11
11/8/2012 19:00,0,10
11/8/2012 20:00,0,11
11/8/2012 21:00,0,13
11/8/2012 22:00,0,13
11/8/2012 23:00,0,13
11/9/2012 0:00,0,15
11/9/2012 1:00,0,16
11/9/2012 2:00,0,15
11/9/2012 3:00,0,14
11/9/2012 4:00,0.1,17
11/9/2012 5:00,0.8,16
11/9/2012 6:00,1.3,17
11/9/2012 7:00,1.3,17
11/9/2012 8:00,0.9,18
11/9/2012 9:00,0.9,17
11/9/2012 10:00,0.1,15
11/9/2012 11:00,1.4,16
11/9/2012 12:00,0.3,10
11/9/2012 13:00,0,9
11/9/2012 14:00,0,10
11/9/2012 15:00,0,11
11/9/2012 16:00,0,11
11/9/2012 17:00,0,11
11/9/2012 18:00,0.1,10
11/9/2012 19:00,0,10
11/9/2012 20:00,0,11
11/9/2012 21:00,0,10
11/9/2012 22:00,0,11
11/9/2012 23:00,0,11
