SSID,JPID_journeys
00020057,4
00020058,3
00020059,2
00020192,5
00020274,6
00020320,2
00020461,1
00020783,1
00020784,2
00020785,1
00021813,1
00030012,1
00030014,1
00030053,1
00030054,1
00030055,1
00030056,3
00030058,2
00030064,1
00030071,1
00030072,1
00030192,1
00030310,1
00031348,1
00040027,1
00040028,1
00040029,1
00040090,1
00040091,1
00040129,1
00040130,1
00040131,1
00040148,1
00040194,1
00040281,2
00060027,1
00060028,1
00060029,1
00060090,1
00060091,1
00060092,1
00060093,1
00060094,1
00060148,1
00060194,1
00060281,1
00070011,13
00070014,12
00070015,3
00070017,1
00070085,1
00070086,1
00070194,1
00070195,1
00070196,1
00070197,1
00070198,1
00070199,1
00070274,1
00070279,1
00070319,1
00070980,1
00080279,9
00080400,3
00080469,1
00100012,4
00100014,4
00100015,4
00100017,3
00100019,1
00100021,1
00100022,1
00100023,1
00100204,1
00100205,1
00100278,6
00110014,13
00110015,11
00110017,2
00110279,1
00110834,2
00110981,1
00120014,5
00120015,4
00120017,2
00120018,2
00120019,3
00120053,1
00120054,1
00120055,1
00120203,1
00120220,1
00120278,3
00140015,17
00140017,8
00140018,2
00140019,2
00140021,1
00140024,1
00140028,1
00140053,1
00140054,1
00140055,1
00140056,1
00140063,1
00140203,1
00140215,1
00140278,2
00140279,1
00140281,1
00140320,1
00140449,1
00140834,3
00140835,1
00140837,2
00150017,23
00150018,15
00150019,11
00150021,8
00150022,1
00150025,1
00150027,2
00150029,1
00150085,3
00150205,1
00150278,3
00150279,2
00150281,1
00150288,2
00150319,1
00150320,1
00150834,5
00150835,4
00150836,2
00150837,1
00150980,1
00151171,1
00151174,2
00160050,2
00160051,2
00160052,2
00160073,2
00160271,1
00161700,1
00170018,23
00170019,23
00170021,10
00170022,1
00170023,1
00170027,2
00170085,2
00170203,1
00170204,1
00170220,1
00170222,1
00170278,1
00170288,4
00170297,2
00170768,2
00170776,1
00171171,2
00171173,1
00173676,1
00173679,1
00180019,23
00180021,19
00180022,1
00180023,1
00180025,1
00180027,1
00180085,3
00180203,2
00180204,1
00180278,1
00190021,23
00190022,1
00190023,1
00190024,1
00190025,1
00190027,7
00190028,1
00190033,1
00190085,9
00190087,1
00190203,4
00190204,1
00190205,2
00190206,1
00190218,1
00190220,1
00190278,1
00190281,1
00190288,1
00191625,1
00210022,1
00210023,1
