SSID,R-squared,MAPE,MdAPE,Row_Count,JPID_Count
47694770,0.0360958962887,29.1179454702,25.3827666014,3379,4
35853587,0.510157030856,19.2033949734,19.2532506263,119,4
14781479,-1.37964351093,67.7209183282,70.4350127503,29054,34
29192920,0.0577237356258,31.0708701949,23.3483750092,782,2
18277382,0.0643760614135,22.1819006088,17.2680479259,2840,4
00400146,0.323328747902,39.4416657181,46.6105377512,3869,4
38097174,0.059546437511,25.1333812849,17.8662634409,524,3
72954199,0.742818254312,31.9595706449,25.3051970701,262,7
22127165,0.0868459731141,96.8723345881,87.5810721965,1901,2
33963397,0.066451894129,36.3672347351,43.8298786181,576,4
37813782,-0.013757914099,35.3215624087,31.3244650087,1678,6
60146242,-0.0670207408915,41.2283027792,38.2037107638,2473,3
04020405,0.0705835221913,28.6397474767,27.4955584956,6522,8
22492250,0.2865438138,38.1071732891,43.712393825,5939,6
13893355,0.0125901285309,40.6264898262,37.3944008224,2017,1
29427065,0.210797078055,17.9269941857,22.1962553879,2504,2
43313641,0.259736698068,14.7531795205,12.8556910569,176,1
07800781,-0.120517802507,39.789905528,42.5164710148,5932,10
34713472,-1.17595540179,78.1312013245,41.9226302153,1809,5
41564169,0.715063912709,29.0645186001,24.9954698655,2905,7
38963897,-0.0735180320859,32.2434896019,35.6748224152,222,4
22462247,0.0319547697092,34.1247210432,32.1987810313,6796,6
70564731,0.284637140173,30.3920359793,25.9769303202,199,1
21343378,0.124132367954,21.8464407526,16.3780407293,835,4
42664307,0.995840330985,1.31239935588,0.0925925925926,18,1
25392540,-0.010237875518,44.7732048092,34.0915188205,4122,5
16614523,0.116742695483,29.2671487241,24.1407089151,2851,1
24502328,0.126761381521,18.8190853485,18.5907431899,1924,2
01410142,0.0304287601416,33.0167195724,29.894017094,4766,6
02420243,0.168628330764,38.5028101235,44.0870010818,2940,3
70626075,-0.00491934326833,33.92508761,36.7171158308,3110,3
01360137,0.0242624599445,21.5515617113,7.22934472934,3023,4
35622899,0.0990649407974,42.5622623094,43.4377646063,1481,3
47477374,0.0432244180791,19.576186107,18.350483849,4077,3
06280629,0.0375777140006,30.6315405566,22.1945359876,944,1
15840983,-0.281150248503,37.0286375188,36.8185185185,4128,6
06860688,0.338876845676,33.7740642031,31.1965811966,414,4
47454989,0.0612585309617,65.0781303844,54.8863636364,1149,7
50733679,0.646320903142,10.4056356744,10.777141103,42,2
31713173,0.104120640262,43.0558689009,46.5682710484,747,1
70797080,-0.0448455733757,18.1166697718,14.7685185185,153,1
26411948,0.348231651714,29.0361620291,25.6901051966,670,1
00900091,-0.0918250038546,31.0798879487,15.2779555442,7917,10
49274928,-0.0111981447186,36.2497749963,46.0200316289,3020,2
26162617,-0.0940679285991,37.282346049,32.1004001883,4122,5
20373046,0.136475033339,72.8711862247,63.9786856128,780,1
25480946,0.415463626038,25.0227578645,17.8707776526,3342,4
12504698,0.00385342126542,24.6689951218,19.8125881361,3556,3
20712072,0.219501466068,72.8918293885,31.25,261,2
74532002,-0.0227385518435,27.670104045,24.7062014504,3493,1
61446145,0.0708492975655,30.8281872428,28.4221092077,2201,2
11221123,-0.01438551559,42.2890853304,43.9874592632,4963,6
22052687,-0.145331313775,33.1010844221,29.3085360038,7821,5
03340406,-0.108643207466,20.1876199857,14.7784386617,10129,8
26362383,0.0470912204263,35.0323966499,30.5229799653,1516,3
74614227,0.489012374987,14.3381539634,10.5454619355,1236,1
61820322,-2.53265844739,224.454179683,363.558683086,4527,9
21402141,0.0714748101057,33.5203425086,26.0467561383,1801,8
24152416,0.0952074861592,43.230184353,47.0726655067,3122,1
06750621,0.989850230994,5.67036523347,4.42708333333,15,5
16661807,-0.117511205881,23.3111561314,19.54266824,9158,8
16061607,0.0595074919329,27.2710004173,20.2851804224,4456,4
12861288,0.142706433521,41.1838130297,35.7833498546,6935,7
74587425,0.0661676745564,31.4073705421,24.2185505343,1783,5
21492150,0.0757859747277,23.7514215782,11.4790286976,1772,10
71723775,0.0242794847999,34.2942061893,43.7934245398,1672,6
