SSID,R-squared,MAPE,MdAPE,Row_Count,JPID_Count
47694770,0.147062442815,26.3426628893,23.0486864393,3379,4
35853587,0.511098926736,17.3611230348,16.9245096816,119,4
14781479,0.182096687875,33.0375264715,29.6354554575,29054,34
29192920,0.0775394904213,30.1916519708,23.3665172178,782,2
18277382,0.0467731234138,19.4856914499,15.6758571457,2840,4
00400146,0.0663935653776,38.0768599373,44.7575040313,3869,4
38097174,0.083691471163,21.7270221793,15.6261676577,524,3
72954199,0.121720982682,34.7625894922,27.0500961787,262,7
22127165,0.01375331637,54.6272708463,38.3147257119,1901,2
33963397,0.136685477504,29.5849290985,32.2954484946,576,4
37813782,0.125418671798,31.3826918696,23.8487623143,1678,6
60146242,0.161864726388,35.1284612221,34.1674877039,2473,3
04020405,0.113755823795,25.8617230634,22.5663046098,6522,8
22492250,0.0221430678643,37.4783486054,43.8045710675,5939,6
13893355,0.160479492045,35.529481522,39.5692858245,2017,1
29427065,0.234389580153,17.8394065716,15.3045557216,2504,2
43313641,0.217302783561,14.7544443446,14.030217793,176,1
07800781,0.0821778042833,34.2042699139,25.2636442289,5932,10
34713472,0.0254277650567,30.8804215882,20.5638835188,1809,5
41564169,0.0872386979867,29.7634929482,25.3344751171,2905,7
38963897,0.134540957842,22.7839210514,18.0221049364,222,4
22462247,0.236414704406,27.9397640672,25.6641392019,6796,6
70564731,0.211653252472,30.2401502287,23.1013332034,199,1
21343378,0.190544674542,19.8380335069,15.2551774108,835,4
42664307,0.813600676609,8.16446803528,5.68434188608e-13,18,1
25392540,0.0834115223369,36.3547525963,30.4155019081,4122,5
16614523,0.266586961448,23.6374118274,18.9442287316,2851,1
24502328,0.264041883616,16.5501458738,15.3475055356,1924,2
01410142,0.130605572403,31.4187212033,24.1483988967,4766,6
02420243,0.284309682164,34.1215023925,36.1727460589,2940,3
70626075,0.0815157457308,32.5566200846,29.2971939372,3110,3
01360137,0.0543122063261,22.4496653012,11.707031848,3023,4
35622899,0.101370669503,38.6963732463,41.1123346242,1481,3
47477374,0.349942485417,13.1406789762,9.96501950601,4077,3
06280629,0.123404007018,28.5150501214,21.5106453271,944,1
15840983,0.239709474695,24.7819034198,21.2920187299,4128,6
06860688,0.24620666438,31.4822539056,27.2778345,414,4
47454989,0.0876658451822,45.7375230148,32.4753890805,1149,7
50733679,0.442378002887,12.0893576894,9.17002386368,42,2
31713173,0.202049500635,36.8226027139,32.6645772364,747,1
70797080,0.0405604519778,17.7575512083,13.953691837,153,1
26411948,0.192713823213,26.4451277551,21.6622029062,670,1
00900091,0.0577320355468,28.5378490522,18.995101956,7917,10
49274928,0.145831099067,29.8611914009,36.0296258599,3020,2
26162617,0.043501843845,34.5835855436,30.538261816,4122,5
20373046,0.0431580347214,49.3293409435,43.7450209383,780,1
25480946,0.280228703434,23.3992045182,19.7258718375,3342,4
12504698,0.140066278238,21.9778833752,19.4774125853,3556,3
20712072,0.0858452380639,64.7470932502,46.1326652219,261,2
74532002,0.18052111927,23.0095191942,19.6111116359,3493,1
61446145,0.125133024616,29.0501689472,25.8059943571,2201,2
11221123,0.0641065314595,33.8264201016,36.7406406494,4963,6
22052687,0.160941425417,27.4193742449,21.4844344768,7821,5
03340406,0.13809200774,16.796342867,12.3939518335,10129,8
26362383,0.14339636931,32.6687406891,30.7071601969,1516,3
74614227,0.0558081381557,13.4266833665,9.8545754953,1236,1
61820322,0.0364678450004,55.3884424845,57.619946282,4527,9
21402141,0.0655406369094,31.5350656812,24.5287463635,1801,8
24152416,0.286304809338,35.6217550457,34.0177721207,3122,1
06750621,1.0,1.6950534057e-13,1.48029736617e-13,15,5
16661807,0.125144880745,19.0422604481,16.8030506258,9158,8
16061607,0.107198307211,27.3322485659,22.5370417255,4456,4
12861288,0.251822654544,36.6630596457,29.7528578638,6935,7
74587425,0.164362622573,28.2189413402,21.9048075598,1783,5
21492150,0.106009493212,23.7248652151,15.6945182752,1772,10
71723775,0.0826929191318,31.8466772223,40.7359017094,1672,6
11000100,0.280210603569,38.4831608854,28.2857217156,3354,3
16481649,0.134832132161,31.6570800482,28.4770307664,9015,5
35253527,0.0883772546985,28.7863015487,24.6163566904,139,1
31873188,0.453425430968,31.5687250046,29.1671504823,680,1
29257442,0.135662541589,22.1432018475,17.0904777148,2538,2
41094110,0.267730140927,26.836251324,23.0868186652,113,5
07990800,0.0549067169455,34.029998604,27.6665497504,4910,3
08120813,0.134350426333,32.0264334614,26.0417368615,5180,2
16951696,0.380583840405,22.7562339681,17.526106942,1996,2
49074908,0.0584715438857,32.1100577989,33.5350706625,1703,6
43364337,0.0940331962119,14.7699348913,11.7032587509,1822,6
36567194,0.162475634463,17.2438699626,14.7046467048,158,1
61656157,0.153762857276,22.6059867568,14.7575903647,185,2
42924293,0.0954123367213,25.0825707322,17.7518401833,1286,1
18372338,0.200383693103,27.2966453795,20.6368352144,3575,9
36573658,0.214304408169,24.5680289619,22.7717500076,1286,2
41824151,0.102381091362,46.6920440163,34.8861987814,3652,2
35543555,0.130608627691,30.1324605544,24.406259468,1510,5
29142989,0.160153374188,24.7035679043,23.0292703571,2644,1
07230724,0.123610872729,25.0096968476,22.8752288913,2528,1
05270528,0.0803269816973,33.2646133179,25.4008832016,4949,9
22385056,0.028971173464,24.804494656,18.5414907683,5322,7
43361051,0.116381847194,17.6624240706,16.6939809449,2641,2
61976198,0.117980265762,29.7754637878,23.966232174,564,1
04293032,0.120104130705,26.6630289346,26.2801766273,3852,7
10061007,0.105351254776,31.3372587419,24.1201435885,1888,4
41084109,0.224073018633,46.3751302483,47.975022152,85,5
15151499,0.0600817316696,24.0970280807,17.8227596398,2718,2
25797395,0.186679687685,33.1647481946,37.474701867,115,3
05850586,0.0913819597192,30.5350946779,27.7473708414,2409,5
61244004,0.0928818973239,32.0552771678,25.0147573962,259,3
10051788,0.0745512371,29.5191842549,24.0199126441,978,1
38023805,0.0780986709961,11.957743527,8.93285886725,801,3
18382338,0.164315046075,31.9395400332,23.6484436275,2575,7
61856186,0.155780476554,43.0770829281,32.9674544467,317,3
21684536,0.172650208034,23.274974248,21.8324371584,793,1
31823183,0.365611801452,60.2377943994,36.3660995176,648,1
71227121,0.0775532576031,24.5930228899,16.9584693983,1673,1
41454146,0.144996263532,36.0195514921,28.1926395358,212,1
72394401,0.0555979793419,29.7822756667,21.7720481973,10044,16
35283529,0.175819308227,18.02654297,13.6242475984,187,1
41384139,0.14195475932,21.7799106867,15.3921373928,273,1
61282544,0.0390122293019,18.2655841508,9.77436236309,809,2
03400407,0.15229637855,34.330876421,32.3594521095,4605,3
10141015,0.275321102761,25.1111563066,22.1467288487,14658,9
71883082,0.0376175120423,23.6174462838,12.3133592827,681,3
45161369,0.225276240416,29.1203719622,20.5846266814,3718,1
51560924,0.277355980099,18.3469649115,15.0571235065,317,1
18087389,0.251633488557,18.4748153321,13.6687541422,3943,1
46714672,0.0955438334605,23.1481382617,23.111047598,3151,10
03130334,0.117588943133,27.4948812063,25.1977561743,4357,3
37303732,0.0651640612485,28.4993985899,20.2381042709,305,1
44352605,0.231404493367,27.1491185387,22.4494054779,1640,3
15941595,0.0377494447666,33.2558465875,45.2209742143,2697,2
12851016,0.294675853725,20.5157317963,16.6124362749,4726,8
46941249,0.103895387107,27.2075602896,17.385396308,2184,3
28382839,0.109032504903,29.5830217102,23.3133544726,1085,4
21722159,0.324060736381,23.1781781471,20.7697390242,3211,11
11201299,0.345404283604,34.2057281536,31.3657794015,1303,5
09480949,0.0287322808876,33.9080268214,42.6855086294,2645,5
61546155,0.215055568976,33.5996492318,36.3441877687,2519,3
44352632,0.361031472444,22.9480382423,18.6008731618,3666,2
11631337,0.333882657501,29.5101699559,24.7640532355,1451,2
48261912,0.234104913384,27.3097601696,25.3786502327,450,1
00790080,0.278058419343,34.4450252018,31.1650742676,8336,11
37853786,0.0690172581141,26.7357569456,18.7531497652,1784,6
07240725,0.215565520035,22.7836969375,17.9321456381,2549,1
11551157,0.17123717198,26.2445402559,18.7612070625,7629,8
34973498,0.0630868224817,34.4749826135,24.9076687295,167,1
08690870,0.0546582862744,41.6566709324,44.5499178527,785,4
07860793,0.164993713038,18.2799776592,13.7706394333,11941,12
16691670,0.159066546419,35.4231898078,29.2664315149,2341,1
21012102,0.170798766375,19.8703934485,15.2354705667,11114,8
72477243,0.0362834906083,21.1550171178,22.4515988679,4464,8
42244225,0.207675392806,20.7832264925,15.3440604925,2084,6
47734393,0.0452244976189,21.9528772833,16.7718969575,2518,6
05550557,0.202179450859,64.8422983132,38.3303211204,489,4
70997100,0.242031078805,20.7014246175,16.7988869381,2714,4
09500928,0.0881115192193,35.4920574279,30.4009906571,2246,5
07634952,0.112948306648,71.4940381142,68.0363792641,201,7
08512791,0.134938193362,32.0939580009,28.0662749748,2020,2
35183519,0.11657094111,22.632524459,17.6013878027,173,1
41704132,0.25788666665,33.6566779753,28.1154105012,3281,7
13881389,0.260954882293,26.07989421,25.0883001086,2018,1
07540755,0.101935540334,40.3815035391,32.6276506056,5740,12
49867107,0.144284322617,28.2526778418,21.1213102841,1910,3
60867419,0.210843929752,31.8815826551,25.7083107872,201,1
11881189,0.162813000859,34.4546728537,25.0450721154,2421,2
44212113,0.105260139191,31.4081665442,26.1354243363,443,7
30823084,0.495852317865,43.8243214719,58.1476039808,60,1
51447027,0.114253666249,54.2258078683,58.0740485074,2593,2
16601661,0.309774603892,36.2494125907,37.1080997395,14912,10
28612829,0.433412911499,15.9560772603,12.8410083316,42,2
34853486,0.0966377588183,24.2977872397,19.0845010417,1848,5
20256086,0.320528144572,21.1770592388,16.3566132856,200,1
21882189,0.235481101071,30.801275224,24.2654967267,8745,7
23115025,0.231914340894,25.1217317142,22.398865818,2082,1
20372040,0.0264613557349,63.6760587038,50.0691231279,1289,4
02430253,0.183494452386,15.6545809946,13.0219588186,584,1
45234524,0.0252525163471,27.3769349381,20.0794465391,2861,1
05760577,0.173139862474,35.235884905,27.7959758604,2109,3
03330401,0.0363361539766,32.0269257223,21.9608293096,227,3
25404882,0.15145771733,41.7061126415,43.7578330118,753,1
51615162,0.0996331234986,36.4706125003,21.6658540659,280,1
22014401,0.166729207814,33.9933861702,27.2036174514,1375,18
22142215,0.076903897815,23.6216512465,20.5216543652,9678,15
16971698,0.0827752967815,33.799912019,27.7556285697,8110,13
20720867,0.202793601815,23.2077747526,21.1754611136,161,1
60832733,0.198182739979,24.5632314724,16.6986511088,326,1
07850791,0.507400612199,17.2039483771,17.1030696071,75,1
30613062,0.0995089921559,26.7315557851,19.5697530893,1155,2
61175079,0.0177372617847,35.058001647,28.9901816063,2659,3
43014302,0.0871182265945,30.3758113189,25.3803941612,621,5
14951496,0.0520701639892,29.271896635,23.6219035246,1590,1
25842585,0.0549452284956,16.9129379047,12.8113383549,708,3
22082210,0.0744434960614,27.8982274134,23.3968211704,2002,2
04010404,0.0931434266769,25.5388521245,20.5835459184,1945,2
06430644,0.0736887620939,32.519296122,41.3651123507,1190,2
16701671,0.177376748103,26.4455875994,22.8221636767,2214,1
42647296,0.0782278233702,26.9695450641,20.8707710095,703,2
30633064,0.0788733963768,34.7242545592,42.3025991533,1163,7
11011102,0.067007501043,28.0943756231,20.3103752028,1657,2
39863987,0.354726586126,22.0120585253,18.7860002413,1606,2
00030192,0.218567701149,26.4711890548,23.1308274577,2204,2
06250626,0.124449399214,23.0576214163,18.9570093362,981,1
71693743,0.139459143646,14.305394382,12.3644631618,1050,4
33343352,0.288819707984,40.0555314042,39.9566930953,1407,2
26652666,0.130440809079,26.6647870809,20.3265938454,2965,2
10431044,0.0668226282479,33.6295358524,37.215993955,1343,1
14790313,0.179747741684,22.2460053318,17.2475119964,16741,12
21717160,0.00861263635579,44.0222770796,47.406587642,3097,3
13661367,0.0604187614542,52.3010004307,36.8793349365,3498,9
51205121,0.18631793463,11.0649658782,8.79730026231,922,2
15861600,0.27526538975,29.1161186443,25.8726538349,287,2
10152812,0.203504783503,32.6390611554,29.559152548,1655,4
19141805,0.0970160399512,31.0971708157,23.2832350878,6434,4
29652983,0.184136463346,29.5214028353,27.7457388675,831,5
15971599,0.101491503148,33.6470407761,26.5185729267,4301,4
21342135,0.110010027919,31.1565048928,36.9373487407,1458,2
00810817,0.233717623508,26.1735686823,20.0879435841,4495,2
39297108,0.292670358395,31.0428761764,25.72265625,1818,2
31810447,0.319336026891,40.6375425837,36.4110958912,408,4
12941295,0.363596909636,31.9310464962,29.3935912177,5320,5
33293330,0.0320756317574,15.2529979447,9.43593775228,1152,2
19824406,0.0389774010384,30.7112468742,29.955102615,4551,16
20432044,0.015955931565,32.4829618158,30.0105975085,5789,11
02550234,0.202371491347,33.1504692396,26.5231702515,2544,1
16681669,0.0605273672239,34.2995030707,42.0574826283,2049,1
70707445,0.0668132666653,28.563446354,21.4682147,2315,2
03190281,0.223115109139,21.4986220394,19.4953448638,6424,11
32963297,0.129474782426,21.732468711,18.2027586239,17,1
42704271,0.0589127792791,29.2737885688,27.5411033547,666,2
20074571,0.197702495352,13.2803498656,10.7151627695,251,3
70187030,0.0650617894302,21.4107958293,17.0963904847,5073,3
44641869,0.185408907996,30.3478118035,31.8880038303,5694,5
02610271,0.121559923863,27.9331458576,22.7129286738,1886,2
09420943,0.0634830389248,20.3609249702,15.8019118899,1629,3
09830984,0.23242783501,25.1938045084,24.5482585278,3645,7
12751276,0.112757352903,31.3675743691,28.6374164976,6229,8
46830107,0.0965103163887,20.395584079,15.9387987942,2977,8
15561557,0.0653989012642,31.1677138849,26.1085103332,2515,4
41364137,0.220557674572,28.8380731433,24.1709074826,247,1
62521502,0.148874302024,27.9261408543,22.9543859453,198,1
17381739,0.0745122831546,34.0757286512,40.8740774471,3370,1
31123924,0.26433237287,16.1073292004,13.9660493827,1825,2
04592079,0.153615167397,14.8436358977,11.9728400341,155,1
13391340,0.078763538035,34.5316925366,24.8666612002,4553,4
40984015,0.112494314752,25.1938266053,21.6628471942,475,3
21336244,0.226235247783,22.8512062211,20.7071261634,3062,6
34443447,0.463568545411,34.5767555739,49.3359300836,37,3
15601280,0.0877586082379,20.039524885,15.7413351651,2575,3
39893990,0.163947030093,21.6218458234,16.9457607582,1634,2
40732583,0.122412812277,18.1588834597,14.2512035887,668,3
32093210,0.0995671546429,31.0676143292,36.7404542221,3293,6
14881489,0.0353255233828,47.5464579456,51.8926099554,3426,1
31913192,0.0703367099874,43.0749265058,45.6644458199,577,1
47461845,0.164632599718,26.8208017212,23.7108067652,1186,3
72687270,0.0606623193665,34.4333950648,28.6888534144,65,1
02770335,0.212127788953,21.4348925277,17.4217971176,3189,1
24182419,0.138141364748,32.7961370731,24.856448539,2872,1
21872188,0.323580117357,31.1123609498,25.4107417407,8792,7
04040747,0.176429224693,22.6491443708,17.5981994416,13400,12
44131476,0.258254693774,24.7878756688,20.9824571118,8278,14
44692262,0.13127644271,32.5004312718,27.0619097166,538,1
37123713,0.209615140785,20.7579794345,16.8184038162,2664,6
36493650,0.0455040018676,17.7734808055,8.73460998943,950,2
17731774,0.0977839065177,37.7103473505,35.8483571202,2674,2
49802288,0.703176384296,14.364869878,16.955567315,18,1
40974103,0.557265531058,17.5694971139,11.5210296465,502,4
60572183,0.109373665549,29.64401267,15.3060112412,677,2
39963997,0.14806902979,32.0070086957,24.8642169743,777,1
03990400,0.186949471174,32.4296517666,32.0932244923,8215,12
00850086,0.114848104591,32.8232628549,33.1471668724,2995,8
34953496,0.0958763248896,26.9914548805,25.2300526214,114,1
37233724,0.0762606541897,21.5854883439,20.0115748405,1157,2
11321133,0.167823461427,40.6547733863,28.0764618498,1375,2
71083935,0.2629365272,21.1113889802,19.3989415323,1980,3
07410742,0.186589969285,26.742804742,24.646303575,2626,1
37367204,0.0486820460651,23.0698197584,18.9942480564,1001,3
43972848,0.201218542707,21.8203456244,16.428223149,4286,7
00140053,0.108641795641,30.3976098238,26.3945766821,2704,1
51245125,0.219371568498,11.0283228122,8.37776809572,842,1
27182719,0.184300847169,25.223200282,17.789365103,6097,3
36263627,0.0931057998507,32.0355595743,24.6997640535,1538,3
22193365,0.0999167536629,36.2178084397,42.7142324063,2928,5
36793711,0.159161481296,32.2234138009,22.8704413131,5946,10
35963597,0.0898583915803,32.2546192781,38.9380104501,810,1
50885089,0.0307202323263,33.9198337475,27.7414885653,952,2
42274230,0.433772239814,40.3500587613,32.18381486,106,4
70574847,0.198699710272,41.0801904104,42.0400594215,2127,3
01280129,0.138452215737,23.712454487,23.4336966427,1590,4
28452846,0.282547335671,24.1737978463,17.3501100367,2838,7
28482849,0.0944076073882,28.1084006656,21.1902285608,4207,7
09790980,0.314151764571,33.8534168484,28.3912870123,2054,4
34703471,0.092041554895,40.7404180815,38.6934340239,652,1
46556138,0.0461687079735,51.8209168165,43.9080371829,936,1
45300748,0.0912129019369,30.8160215793,24.8857183609,4331,3
70487159,0.0516202059501,22.3979833557,19.796538105,2414,3
20352036,0.0383944762561,34.2398413391,25.4991397394,11608,16
03852806,0.0794138039991,50.1972220923,59.1912662271,328,1
37613762,0.0656897257697,34.376195291,43.4665040569,1774,6
75127371,0.214950381889,41.0775101363,37.8546629875,3794,3
14241425,0.133632130266,33.700882123,26.5175486281,6147,4
41694170,0.0521921939865,24.0077442667,19.2489400323,2967,7
25442545,0.0820656913469,29.9867970549,26.280035109,1646,2
48313044,0.0705492226958,28.6899913525,27.1217530406,981,1
41564167,0.0856192269662,59.3870511899,76.4680809568,922,7
21857043,0.157820825247,20.5442430467,18.2216892697,8381,7
47256059,0.686059703359,40.5059171279,38.727272421,35,1
25202521,0.104403992595,33.5473504652,25.2520945885,1557,4
49583752,0.0998297127458,24.0633158215,18.1297043691,1518,4
47280437,0.0849245782941,18.6291233723,15.2317872344,210,1
01500027,0.226252735124,23.5501435507,20.6567367652,5678,2
09461131,0.139266112904,41.45266034,34.8342243982,422,2
07944496,0.193581181962,21.6710690934,19.0114019325,2881,4
15140980,0.202060278321,32.762428891,28.4734880335,2149,3
31553156,0.101296023966,33.4579375808,31.8729025819,2127,7
02280229,0.0838718091069,35.571340036,37.9606814886,1817,4
03540355,0.0783412362227,27.0965604675,23.9499526633,2906,4
09433599,0.182477342868,21.5365959838,17.6702537097,1035,3
31673168,0.123809635315,33.0950975978,25.5176880124,718,1
41224123,0.0627419598235,37.9957263644,40.1370635055,535,2
03000497,0.255928553783,98.4846012943,258.464553025,347,7
09380940,0.0397643018299,20.0223313793,16.928939336,2516,3
