SSID,R-squared,MAPE,MdAPE,Row_Count,JPID_Count
47694770,0.167703988859,24.6339766296,19.1935268948,3379,4
35853587,0.20830774985,21.7574889523,17.4940037314,119,4
14781479,0.166271613107,34.3206817856,29.1629235032,29054,34
29192920,0.0736314096805,30.9320011868,23.4209517039,782,2
18277382,0.072579773569,19.8685224274,14.2943348071,2840,4
00400146,0.115747242861,37.813512636,43.241789592,3869,4
38097174,0.110836566147,21.6039063798,15.6364982161,524,3
72954199,0.106927139786,32.5500874593,22.5378506378,262,7
22127165,0.0637326461687,53.7959036302,30.2575304857,1901,2
33963397,0.124631425351,30.7273402129,30.3053229528,576,4
37813782,0.128901433289,32.2548948051,24.6183900389,1678,6
60146242,0.148247014946,35.1592508241,34.0075031157,2473,3
04020405,0.0927491003032,26.9296192494,25.9508426142,6522,8
22492250,0.167510278099,37.630260692,42.1551666094,5939,6
13893355,0.117140619765,37.0014952218,33.2248590482,2017,1
29427065,0.260204064572,16.8557961063,18.5236843201,2504,2
43313641,0.160811602541,14.9597688551,11.9702657882,176,1
07800781,0.0823726934236,35.5039740082,27.7664180445,5932,10
34713472,0.0867665046845,31.2595079491,18.7491473346,1809,5
41564169,0.0825024208985,28.9067748622,24.1503559969,2905,7
38963897,0.0812720404174,22.9456947399,16.6086456889,222,4
22462247,0.208902190537,29.1135908715,19.0471488196,6796,6
70564731,0.223092176184,29.5678391658,21.3160237219,199,1
21343378,0.192559570064,20.2294640817,14.9478959414,835,4
42664307,-0.000207166681573,31.9309500805,30.1348148148,18,1
25392540,0.0733294228772,36.703393327,29.8538922575,4122,5
16614523,0.169563438254,25.9975555232,20.0628846194,2851,1
24502328,0.204382807632,17.4716528445,16.4436086615,1924,2
01410142,0.150225345994,32.1792918783,23.9908382655,4766,6
02420243,0.226254470759,36.1448832524,40.3274882959,2940,3
70626075,0.0613905219024,31.8642054496,33.5344122348,3110,3
01360137,0.0694148169235,22.0471848589,9.72479075492,3023,4
35622899,0.139404471906,39.9107364164,39.6409963645,1481,3
47477374,0.289071889316,14.1520993145,11.8548489569,4077,3
06280629,0.102149984006,30.3351893966,22.5451069979,944,1
15840983,0.188049026872,25.6054617956,21.1872205276,4128,6
06860688,0.399230760108,26.0068353414,22.2789226967,414,4
