SSID,R-squared,MAPE,MdAPE,Row_Count,JPID_Count
47694770,0.0644484051327,25.7384330902,30.4779322283,3379,4
35853587,0.0423989663204,23.3670578432,20.0619843337,119,4
14781479,0.0656407136061,34.1923144994,26.295826293,29054,34
29192920,-0.191446659528,30.4005822255,14.5008699123,782,2
18277382,-0.0718865377965,17.8059990597,5.38908988697,2840,4
00400146,-0.0827537056659,34.9794971353,15.6780922495,3869,4
38097174,-0.0303307412929,20.6969966992,12.9237235929,524,3
72954199,-0.0465828976702,28.2307718198,9.21962533234,262,7
22127165,-0.0189548492841,43.2871331738,9.44350448429,1901,2
33963397,-0.223060587676,26.7572505601,9.32127925378,576,4
37813782,-0.00340316051038,31.3320975163,17.887975771,1678,6
60146242,-0.0110084537418,36.8712026474,34.2589688886,2473,3
04020405,-0.00343499377058,26.9906670567,20.8869153525,6522,8
22492250,-0.130703019465,31.521130986,11.8045419744,5939,6
13893355,-0.0876831766399,37.029799957,44.6720265306,2017,1
29427065,0.0445793399034,18.6089802982,22.0257520532,2504,2
43313641,-0.0256285682236,15.3869730689,18.6374345579,176,1
07800781,0.0270610737171,34.3760375805,33.0275183417,5932,10
34713472,-0.00601024944253,28.2636601617,7.27445411001,1809,5
41564169,-0.0205789325907,25.0264577817,8.88984276258,2905,7
38963897,-0.105747960177,18.4066935809,6.11585680975,222,4
22462247,-0.0248090095438,30.0209260826,30.9555280237,6796,6
70564731,0.0423292814123,31.7776002251,30.7071219575,199,1
21343378,0.0242988234091,20.8174470836,17.6813749953,835,4
42664307,-0.311465568472,22.8446661434,1.85410293024,18,1
25392540,-0.0582696988338,33.2855418179,11.8247305601,4122,5
16614523,0.0434314583489,28.4224058327,23.5824644995,2851,1
24502328,0.0307254599234,19.4046767776,16.7202662124,1924,2
01410142,0.0532558263846,30.8957536482,23.6851079978,4766,6
02420243,0.140487382561,37.8056683163,42.189258089,2940,3
70626075,0.0248274211674,32.134152921,42.0746569591,3110,3
01360137,0.00941966614233,20.6606176401,5.06457163967,3023,4
35622899,-0.0475888079841,40.1666214827,37.4186638652,1481,3
47477374,0.0203703105892,15.7718507928,11.8264427134,4077,3
06280629,-0.106320118812,30.166420854,15.5347338138,944,1
15840983,0.0272872917386,26.3591520117,23.7483519124,4128,6
06860688,0.20576559059,25.227140859,8.23255106624,414,4
47454989,-0.0388673720629,32.571141347,6.89903312365,1149,7
50733679,0.0244178702937,15.3369469229,11.8514438321,42,2
31713173,0.000248923278956,39.822277577,31.8638885294,747,1
70797080,-0.0236078063442,16.5198143028,21.1249449727,153,1
26411948,-0.0022893277158,26.774007323,20.2675697606,670,1
00900091,0.00511889999507,27.3755795668,8.3238175508,7917,10
49274928,-0.223126440892,28.0934206625,12.7677081387,3020,2
26162617,0.00184328314217,35.0377237381,30.4783484364,4122,5
20373046,-0.0471405872201,34.1836140831,6.28762022224,780,1
25480946,0.00441353531423,26.2237031364,21.4942296382,3342,4
12504698,-0.0281587268146,20.6199488245,6.33507592692,3556,3
20712072,-0.0478402251746,42.4242075274,8.11775963281,261,2
74532002,0.0191265470104,25.1986837232,22.1524299621,3493,1
61446145,0.0195866852759,30.3457948326,25.4835097545,2201,2
11221123,-0.13433230624,29.1365298675,10.6144790357,4963,6
22052687,0.0448345848377,26.8768366635,10.3012182179,7821,5
03340406,0.0314674280357,17.5496780221,11.8738919969,10129,8
26362383,0.0206855034174,34.147135019,27.0556294326,1516,3
