,JourneyPatternID,JPID_length
58,00010001,42
97,00010002,21
110,00011001,42
152,00011002,23
167,00040001,60
296,00070001,67
335,00070002,66
410,00080001,46
421,00081001,51
429,00090001,66
500,00091001,68
577,00110001,62
610,00111001,64
707,00131001,89
743,00131002,89
782,00140001,80
833,00141001,73
889,00150001,72
1054,00151002,37
1068,00160001,76
1143,00161001,72
1233,00171001,65
1295,00181001,63
1375,00260001,29
1510,00271001,88
1711,00370001,57
1793,00380001,55
2008,00401001,81
2142,00410005,36
2172,00411001,53
2191,00411002,48
2225,00420002,49
2323,00431001,53
2351,00440001,80
2371,00470001,48
2394,00471001,52
2408,00471002,55
2446,00491001,45
2491,00530001,22
2635,00631003,39
2842,00690001,56
2869,00700001,43
2905,00701001,49
2995,00760001,34
3029,00761001,35
3109,007B0001,51
3112,007B1001,57
3119,00830001,71
3194,00831001,70
3233,00840003,84
3317,01040001,32
3325,01041001,33
3337,01110001,30
3347,01111001,32
3353,01140001,28
3387,01161002,50
3440,01200002,37
3493,01201002,35
3576,01221001,53
3625,01230001,43
3707,01231001,48
3905,01301001,39
3921,01400001,45
3974,01401001,45
4022,01420001,42
4030,01450001,69
4128,01450004,23
4136,01451001,71
4222,01451003,55
4224,01451004,47
4370,01510001,49
4397,01511001,52
4642,01611001,31
4648,016C0002,20
4658,017A0004,61
4699,017A1003,60
4715,017A1004,59
4765,01841001,46
4787,01850002,8
4796,01850004,20
4804,01851001,20
4820,01851002,7
4849,02360001,14
4852,02361001,15
4909,025A0001,40
5079,02700001,17
5100,02701001,18
5145,027A1001,40
5208,027B0003,35
5210,027B0005,30
5256,027B1003,40
5404,032A1001,61
5430,032B0002,56
5490,033B0002,4
5527,033X1001,55
5547,038A0001,45
5589,038B1001,50
5644,039A0001,71
5682,039A0002,22
5690,039A1001,71
5976,041X1001,32
5978,041X1002,28
5986,044B0001,29
6041,045A1003,67
6052,045A1004,65
6055,046A0001,59
6171,046A1001,63
6297,046A1006,34
6298,046E1001,38
6333,054A1001,44
6396,065B0001,60
6443,066A1001,46
6476,066X0001,61
6479,066X0002,50
6481,066X0004,38
6485,066X1002,50
6488,066X1004,41
6503,068A0001,23
6510,068A1001,22
6513,069X1001,15
6514,07470001,19
6584,07471001,19
6641,076A0001,43
6645,076A1001,39
6790,079A1001,32
6842,084A0001,38
6853,084X0001,33
6861,084X1001,38
6866,084X1002,37
7307,00090002,33
8031,00170003,14
8308,00270003,54
8374,00310001,52
8626,00381001,60
8733,00400001,80
8950,00410006,45
9112,00430001,49
9174,00441001,72
9291,00491002,47
9316,00531001,18
10113,01021001,55
10203,01141001,29
10213,01181001,42
10276,01201001,25
