,TravelTime,HourFrame,Day,SchoolHoliday,Rain,WindSpeed,TimeFrame,JourneyPatternID,VehicleJourneyID,SSID
0,37,8,Tuesday,False,0.0,15.0,2012-11-06,068A0001,1909,12881289
1,20,10,Tuesday,False,0.0,16.5,2012-11-06,068A0001,1911,12881289
2,79,15,Tuesday,False,0.0,16.5,2012-11-06,068A0001,1912,12881289
3,60,17,Tuesday,False,0.0,14.0,2012-11-06,068A0001,2080,12881289
4,43,18,Tuesday,False,0.0,14.0,2012-11-06,068A0001,2081,12881289
5,21,10,Wednesday,False,0.0,16.5,2012-11-07,068A0001,1911,12881289
6,40,15,Wednesday,False,0.0,15.0,2012-11-07,068A0001,1912,12881289
7,98,16,Wednesday,False,0.0,16.5,2012-11-07,068A0001,1913,12881289
8,57,17,Wednesday,False,0.03333333333333333,18.0,2012-11-07,068A0001,2080,12881289
9,43,18,Wednesday,False,0.03333333333333333,16.0,2012-11-07,068A0001,2081,12881289
10,39,9,Thursday,False,0.0,10.5,2012-11-08,068A0001,1909,12881289
11,39,10,Thursday,False,0.0,12.0,2012-11-08,068A0001,1911,12881289
12,39,15,Thursday,False,0.0,10.5,2012-11-08,068A0001,1912,12881289
13,41,16,Thursday,False,0.0,10.0,2012-11-08,068A0001,1913,12881289
14,41,9,Friday,False,0.6666666666666666,16.0,2012-11-09,068A0001,1909,12881289
15,41,10,Friday,False,0.10000000000000002,14.5,2012-11-09,068A0001,1911,12881289
16,39,15,Friday,False,0.0,11.5,2012-11-09,068A0001,1912,12881289
17,21,16,Friday,False,0.0,12.0,2012-11-09,068A0001,1913,12881289
18,62,17,Friday,False,0.0,11.5,2012-11-09,068A0001,2080,12881289
19,61,18,Friday,False,0.03333333333333333,11.0,2012-11-09,068A0001,2081,12881289
20,18,8,Monday,False,0.26666666666666666,12.5,2012-11-12,068A0001,1909,12881289
21,41,15,Monday,False,0.0,16.0,2012-11-12,068A0001,1912,12881289
22,41,16,Monday,False,0.0,15.0,2012-11-12,068A0001,1912,12881289
23,78,17,Monday,False,0.0,14.5,2012-11-12,068A0001,2080,12881289
24,141,18,Monday,False,0.0,14.0,2012-11-12,068A0001,2081,12881289
25,21,8,Tuesday,False,0.0,17.0,2012-11-13,068A0001,1909,12881289
26,39,15,Tuesday,False,0.0,19.0,2012-11-13,068A0001,1912,12881289
27,61,16,Tuesday,False,0.0,19.5,2012-11-13,068A0001,1913,12881289
28,100,17,Tuesday,False,0.06666666666666668,18.5,2012-11-13,068A0001,2080,12881289
29,58,18,Tuesday,False,0.06666666666666668,16.5,2012-11-13,068A0001,2081,12881289
30,39,8,Wednesday,False,0.0,10.5,2012-11-14,068A0001,1909,12881289
31,20,10,Wednesday,False,0.0,9.0,2012-11-14,068A0001,1911,12881289
32,39,15,Wednesday,False,0.0,11.0,2012-11-14,068A0001,1912,12881289
33,60,16,Wednesday,False,0.0,9.5,2012-11-14,068A0001,1913,12881289
34,120,17,Wednesday,False,0.0,7.0,2012-11-14,068A0001,2080,12881289
35,80,18,Wednesday,False,0.0,6.0,2012-11-14,068A0001,2081,12881289
36,35,8,Thursday,False,0.0,3.5,2012-11-15,068A0001,1909,12881289
37,21,10,Thursday,False,0.0,5.0,2012-11-15,068A0001,1911,12881289
38,35,15,Thursday,False,0.0,8.5,2012-11-15,068A0001,1912,12881289
39,80,16,Thursday,False,0.0,7.0,2012-11-15,068A0001,1913,12881289
40,59,18,Thursday,False,0.0,7.5,2012-11-15,068A0001,2081,12881289
41,21,8,Friday,False,0.0,3.0,2012-11-16,068A0001,1909,12881289
42,41,10,Friday,False,0.0,2.5,2012-11-16,068A0001,1911,12881289
43,38,15,Friday,False,0.0,4.0,2012-11-16,068A0001,1912,12881289
44,39,18,Friday,False,0.0,6.0,2012-11-16,068A0001,2081,12881289
45,39,9,Monday,False,0.0,20.5,2012-11-19,068A0001,1705,12881289
46,23,10,Monday,False,0.0,18.5,2012-11-19,068A0001,1707,12881289
47,43,15,Monday,False,0.0,18.5,2012-11-19,068A0001,1708,12881289
48,43,16,Monday,False,0.0,15.5,2012-11-19,068A0001,1709,12881289
49,61,17,Monday,False,0.0,12.0,2012-11-19,068A0001,1876,12881289
50,41,18,Monday,False,0.0,12.5,2012-11-19,068A0001,1877,12881289
